date,mon,tue,wed,thu,fri,sat,sun,public_holiday,public_holiday_previous_day,total_outpatient,intro_outpatient,ER,bed_count,y
2022/2/1,0,1,0,0,0,0,0,0,0,531,21,12,242,20
2022/2/2,0,0,1,0,0,0,0,0,0,622,14,8,242,14
2022/2/3,0,0,0,1,0,0,0,0,0,455,16,13,243,17
2022/2/4,0,0,0,0,1,0,0,0,0,665,14,15,239,19
2022/2/5,0,0,0,0,0,1,0,0,0,187,4,15,237,12
2022/2/6,0,0,0,0,0,0,1,0,0,14,0,10,234,6
2022/2/7,1,0,0,0,0,0,0,0,0,474,10,15,234,21
2022/2/8,0,1,0,0,0,0,0,0,0,618,21,16,231,16
2022/2/9,0,0,1,0,0,0,0,0,0,668,14,19,233,17
2022/2/10,0,0,0,1,0,0,0,0,1,584,16,27,232,25
2022/2/11,0,0,0,0,1,0,0,1,0,113,3,12,237,12
2022/2/12,0,0,0,0,0,1,0,0,0,177,1,6,233,6
2022/2/13,0,0,0,0,0,0,1,0,0,4,2,2,228,2
2022/2/14,1,0,0,0,0,0,0,0,0,574,15,8,234,21
2022/2/15,0,1,0,0,0,0,0,0,0,590,14,17,239,21
2022/2/16,0,0,1,0,0,0,0,0,0,805,21,13,241,22
2022/2/17,0,0,0,1,0,0,0,0,0,581,14,6,246,12
2022/2/18,0,0,0,0,1,0,0,0,0,750,14,22,251,18
2022/2/19,0,0,0,0,0,1,0,0,0,224,4,24,248,15
2022/2/20,0,0,0,0,0,0,1,0,0,33,2,17,250,11
2022/2/21,1,0,0,0,0,0,0,0,0,569,12,13,253,23
2022/2/22,0,1,0,0,0,0,0,0,1,458,12,17,250,12
2022/2/23,0,0,1,0,0,0,0,1,0,103,0,20,247,8
2022/2/24,0,0,0,1,0,0,0,0,0,494,13,13,246,13
2022/2/25,0,0,0,0,1,0,0,0,0,623,18,16,249,17
2022/2/26,0,0,0,0,0,1,0,0,0,159,0,14,250,14
2022/2/27,0,0,0,0,0,0,1,0,0,13,0,12,258,13
2022/2/28,1,0,0,0,0,0,0,0,0,562,11,7,252,14
2022/3/1,0,1,0,0,0,0,0,0,0,599,18,11,247,19
2022/3/2,0,0,1,0,0,0,0,0,0,732,14,21,245,17
2022/3/3,0,0,0,1,0,0,0,0,0,437,8,18,252,18
2022/3/4,0,0,0,0,1,0,0,0,0,650,9,12,249,18
2022/3/5,0,0,0,0,0,1,0,0,0,163,2,10,251,8
2022/3/6,0,0,0,0,0,0,1,0,0,24,1,14,255,13
2022/3/7,1,0,0,0,0,0,0,0,0,563,16,9,268,25
2022/3/8,0,1,0,0,0,0,0,0,0,597,13,12,268,21
2022/3/9,0,0,1,0,0,0,0,0,0,669,19,15,260,14
2022/3/10,0,0,0,1,0,0,0,0,0,537,14,12,262,25
2022/3/11,0,0,0,0,1,0,0,0,0,627,14,10,257,21
2022/3/12,0,0,0,0,0,1,0,0,0,478,1,10,248,7
2022/3/13,0,0,0,0,0,0,1,0,0,27,1,14,252,13
2022/3/14,1,0,0,0,0,0,0,0,0,732,16,9,265,32
2022/3/15,0,1,0,0,0,0,0,0,0,547,7,11,265,15
2022/3/16,0,0,1,0,0,0,0,0,0,776,22,14,266,21
2022/3/17,0,0,0,1,0,0,0,0,0,572,15,14,260,16
